name,sci_name,state,county,points,link,img,lat,long
Juniper Common,Juniperus communis,UT,Cache,68,https://www.americanforests.org?page_id=84929,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7713,41.7042978,-111.7451159
Maple Mountain,Acer spicatum,VA,Smyth,67,https://www.americanforests.org?page_id=85010,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,36.8440149,-81.5418453
Hawthorn Poplar,Crataegus populnea,OH,Wood,67,https://www.americanforests.org?page_id=81999,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5860,41.2776661,-83.6643025
Pistachio Mexican,Pistacia mexicana,TX,Val Verde,67,https://www.americanforests.org?page_id=81815,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,29.9153286,-101.1284631
Cercocarpus Hairy,Cercocarpus breviflorus,AZ,Santa Cruz,67,https://www.americanforests.org?page_id=55972,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=4322,31.5094579,-110.8476281
Peach ,Prunus persica,VA,Powhatan,67,https://www.americanforests.org?page_id=81826,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,37.5531622,-77.9112655
Yucca Beaked,Yucca thompsoniana,TX,Brewster,66,https://www.americanforests.org?page_id=64559,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=8017,29.8462742,-103.2400734
Hawthorn Washington,Crataegus phaenopyrum,VA,Norfolk,66,https://www.americanforests.org?page_id=84941,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7639,42.1538607,-71.1828015
Cliffrose ,Purshia mexicana,AZ,Coconino,66,https://www.americanforests.org?page_id=85008,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7910,35.9363252,-111.6948197
Darling-plum ,Reynosia septentrionalis,FL,Monroe,65,https://www.americanforests.org?page_id=56091,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.0405135,-80.8337157
Elder American,Sambucus canadensis,FL,Lake,65,https://www.americanforests.org?page_id=55496,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,28.7006859,-81.78994
Winterberry Mountain,Ilex montana,VA,Giles,65,https://www.americanforests.org?page_id=84959,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,37.3088528,-80.7098781
Devils-walkingstick ,Aralia spinosa,MD,Baltimore,65,https://www.americanforests.org?page_id=84930,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=6281,39.4445243,-76.6483482
Cercocarpus Alderleaf,Cercocarpus montanus,MT,Ravalli,64,https://www.americanforests.org?page_id=56379,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=2844,46.0757223,-114.1139453
Hibiscus Shrub althea,Hibiscus syriacus,VA,Gloucester,64,https://www.americanforests.org?page_id=84947,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,37.4452288,-76.5594479
Hawthorn Kansas,Crataegus coccinioides,IL,DuPage,63,https://www.americanforests.org?page_id=85014,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=7636,41.8603735,-88.0906873
Yucca Soaptree,Yucca elata,AZ,Pima,63,https://www.americanforests.org?page_id=57959,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=8014,32.1112624,-111.6546163
Elephant-tree ,Bursera microphylla,AZ,Yuma,62,https://www.americanforests.org?page_id=55510,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=1322,32.7915374,-113.8975031
Caper Jamaica,Capparis cynophallophora,FL,Monroe,62,https://www.americanforests.org?page_id=56362,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.0405135,-80.8337157
Mountain-laurel ,Kalmia latifolia,VA,Grayson,61,https://www.americanforests.org?page_id=84939,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,33.5636114,-96.6702111
Baccharis Eastern,Baccharis halimifolia,VA,Chesapeake,61,https://www.americanforests.org?page_id=67341,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,36.7183708,-76.2466798
Hophornbeam Chisos,Ostrya chisosensis,TX,Brewster,60,https://www.americanforests.org?page_id=56067,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,29.8462742,-103.2400734
Hawthorn Cockspur,Crataegus crus-galli,VA,Montgomery,60,https://www.americanforests.org?page_id=84940,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,30.301949,-95.5065944
Stopper Boxleaf,Eugenia foetida,FL,Miami-Dade,59,https://www.americanforests.org?page_id=84933,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.6364246,-80.4989467
Willow Sandbar,Salix interior,MT,Ravalli,59,https://www.americanforests.org?page_id=81964,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,46.0757223,-114.1139453
Dogwood Swamp,Cornus foemina,VA,Isle of Wight,59,https://www.americanforests.org?page_id=55717,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,36.8953677,-76.7248143
Viburnum Walter,Viburnum obovatum,FL,Alachua,58,https://www.americanforests.org?page_id=81989,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,29.675568,-82.3640109
Vauquelinia Slimleaf rosewood,Vauquelinia corymbosa,TX,Upton,58,https://www.americanforests.org?page_id=64577,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,31.3720387,-102.0386055
Indian-fig ,Opuntia ficus-indica,AZ,Pinal,58,https://www.americanforests.org?page_id=55640,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=8032,32.8085851,-111.4426212
Yew Florida,Taxus floridana,FL,Liberty,57,https://www.americanforests.org?page_id=56050,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=531,30.2506943,-84.8955989
Elder Blackbead,Sambucus melanocarpa,OR,Clackamas,56,https://www.americanforests.org?page_id=55342,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,45.1608821,-122.2305038
Torchwood Balsam,Amyris elemifera,FL,Monroe,56,https://www.americanforests.org?page_id=55707,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,25.0405135,-80.8337157
Hawthorn Littlehip,Crataegus spathulata,TX,Montgomery,56,https://www.americanforests.org?page_id=84974,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,30.301949,-95.5065944
Sumac Evergreen,Rhus virens,TX,Travis,55,https://www.americanforests.org?page_id=55567,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,30.2878569,-97.7561392
Thatchpalm Florida,Thrinax radiata,FL,Broward,54,https://www.americanforests.org?page_id=56028,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,26.1598074,-80.4623642
